Time to completion: 361.979s
results:
{0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0}
{1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0}
{0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0}
{1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0}
{0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0}
{1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0}
{0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0}
{0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0}
{0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0}
{1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0}
{0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0}
{0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0}
