Time to completion: 556.763s
results:
{0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0}
{1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0}
{0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0}
{1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0}
{0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0}
{1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0}
{0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0}
{0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0}
{0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0}
{1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0}
{0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0}
{0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0}
